theta,q,theta_via_q,y_rep
0.4042878,0.7021439,0.4042878,65.0
0.44196059,0.7209803,0.44196059,73.0
0.52698403,0.76349201,0.52698403,75.0
0.62875224,0.81437612,0.62875224,87.0
0.63143378,0.81571689,0.63143378,88.0
0.52391262,0.76195631,0.52391262,79.0
0.58907473,0.79453737,0.58907473,73.0
0.7339072,0.8669536,0.7339072,89.0
0.71473524,0.85736762,0.71473524,91.0
0.59396804,0.79698402,0.59396804,75.0
0.63732688,0.81866344,0.63732688,85.0
0.6489515,0.82447575,0.6489515,76.0
0.55667119,0.77833559,0.55667119,74.0
0.4688464,0.7344232,0.4688464,81.0
0.47786533,0.73893267,0.47786533,73.0
0.48210182,0.74105091,0.48210182,78.0
0.44169454,0.72084727,0.44169454,65.0
0.35519236,0.67759618,0.35519236,60.0
0.37071243,0.68535622,0.37071243,66.0
0.41273921,0.70636961,0.41273921,75.0
0.52819278,0.76409639,0.52819278,75.0
0.66926992,0.83463496,0.66926992,80.0
0.68461423,0.84230712,0.68461423,87.0
0.77750979,0.88875489,0.77750979,94.0
0.73088216,0.86544108,0.73088216,87.0
0.68365576,0.84182788,0.68365576,83.0
0.59744526,0.79872263,0.59744526,78.0
0.59785648,0.79892824,0.59785648,84.0
0.62250993,0.81125496,0.62250993,79.0
0.55533446,0.77766723,0.55533446,76.0
0.56590585,0.78295292,0.56590585,75.0
0.56590585,0.78295292,0.56590585,80.0
0.62629254,0.81314627,0.62629254,80.0
0.62150275,0.81075138,0.62150275,82.0
0.62172246,0.81086123,0.62172246,80.0
0.57980336,0.78990168,0.57980336,82.0
0.49731234,0.74865617,0.49731234,72.0
0.46107916,0.73053958,0.46107916,81.0
0.58781244,0.79390622,0.58781244,74.0
0.68179147,0.84089574,0.68179147,81.0
0.65623028,0.82811514,0.65623028,81.0
0.56724647,0.78362323,0.56724647,76.0
0.68063489,0.84031745,0.68063489,86.0
0.67752667,0.83876333,0.67752667,89.0
0.65501729,0.82750864,0.65501729,88.0
0.78375611,0.89187806,0.78375611,87.0
0.77268582,0.88634291,0.77268582,88.0
0.62723662,0.81361831,0.62723662,81.0
0.50730482,0.75365241,0.50730482,82.0
0.53340024,0.76670012,0.53340024,74.0
0.43658355,0.71829178,0.43658355,76.0
0.45279083,0.72639542,0.45279083,77.0
0.41145204,0.70572602,0.41145204,61.0
0.39755477,0.69877738,0.39755477,67.0
0.43907946,0.71953973,0.43907946,78.0
0.48121523,0.74060761,0.48121523,69.0
0.43868286,0.71934143,0.43868286,72.0
0.44387529,0.72193764,0.44387529,65.0
0.43289928,0.71644964,0.43289928,75.0
0.56176084,0.78088042,0.56176084,81.0
0.62091889,0.81045944,0.62091889,85.0
0.5871334,0.7935667,0.5871334,75.0
0.53449253,0.76724627,0.53449253,77.0
0.52117376,0.76058688,0.52117376,77.0
0.5255518,0.7627759,0.5255518,70.0
0.51879092,0.75939546,0.51879092,72.0
0.53525438,0.76762719,0.53525438,78.0
0.53525438,0.76762719,0.53525438,76.0
0.5436018,0.7718009,0.5436018,77.0
0.55227941,0.77613971,0.55227941,79.0
0.58857178,0.79428589,0.58857178,79.0
0.52791373,0.76395687,0.52791373,71.0
0.52152854,0.76076427,0.52152854,70.0
0.53986337,0.76993168,0.53986337,78.0
0.59326677,0.79663339,0.59326677,78.0
0.68322517,0.84161259,0.68322517,85.0
0.57482549,0.78741275,0.57482549,77.0
0.56587096,0.78293548,0.56587096,73.0
0.5919685,0.79598425,0.5919685,80.0
0.58707004,0.79353502,0.58707004,78.0
0.64400183,0.82200092,0.64400183,85.0
0.57484157,0.78742079,0.57484157,61.0
0.60440888,0.80220444,0.60440888,86.0
0.61080334,0.80540167,0.61080334,81.0
0.51509585,0.75754792,0.51509585,74.0
0.50533314,0.75266657,0.50533314,74.0
0.57234236,0.78617118,0.57234236,78.0
0.63004378,0.81502189,0.63004378,88.0
