theta,p_forced,q,y_rep
0.50772494,0.56752532,0.7871035,72.0
0.66650918,0.58032243,0.86004138,81.0
0.58003858,0.57650556,0.82214867,74.0
0.58336659,0.54412812,0.81006854,83.0
0.62177919,0.52684073,0.82104132,83.0
0.67386852,0.5342426,0.84810185,83.0
0.61456599,0.55395372,0.82807859,84.0
0.62662024,0.47002078,0.80211649,80.0
0.73016003,0.34377759,0.82292497,79.0
0.58956121,0.61404526,0.8415892,77.0
0.54129988,0.60217271,0.81751657,82.0
0.55393181,0.59730933,0.8203725,84.0
0.49334025,0.54264561,0.76827694,75.0
0.53870059,0.52728537,0.78193702,79.0
0.4825896,0.62871345,0.80789247,78.0
0.52563802,0.62002558,0.81975458,83.0
0.53407837,0.6249769,0.82526863,85.0
0.54575505,0.54965221,0.79543179,84.0
0.59501386,0.49383996,0.7950122,84.0
0.60657357,0.49816939,0.80256657,82.0
0.75536967,0.47866694,0.87246612,89.0
0.59477358,0.51297509,0.80264464,79.0
0.65717741,0.50583109,0.83058774,88.0
0.61614585,0.58217276,0.83961528,78.0
0.61224829,0.51134189,0.81052198,78.0
0.49180753,0.51791924,0.75501019,74.0
0.50579465,0.56715992,0.78608812,79.0
0.52095368,0.58469965,0.80105189,80.0
0.44174875,0.52823646,0.73663741,72.0
0.58098753,0.47206178,0.7787873,78.0
0.43858961,0.56718485,0.75701308,77.0
0.5985131,0.38600911,0.7534907,76.0
0.49418288,0.53298224,0.76377442,76.0
0.46408408,0.65485498,0.81503129,83.0
0.49515673,0.63591253,0.81619289,82.0
0.5606142,0.55375419,0.80392593,79.0
0.48893335,0.53422195,0.76195637,70.0
0.52774531,0.58898528,0.80589637,79.0
0.53703669,0.64195062,0.83423627,80.0
0.51950551,0.62897064,0.82172244,80.0
0.59322736,0.53708772,0.81169995,82.0
0.57009548,0.46226147,0.76882377,83.0
